,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity,Avg_visibility,Avg_wind_speed,Max_wind_speed,PM10
169,23.4,31.5,15.9,33.0,7.4,2.2,5.4,161.43
170,22.6,31.5,15.0,39.0,6.9,0.9,3.5,172.52
171,23.0,32.5,14.2,39.0,6.3,1.3,3.5,178.47
172,21.6,30.0,17.6,58.0,6.9,3.0,3.5,134.86
173,21.0,26.9,18.0,86.0,5.5,2.0,5.4,76.48
174,21.1,26.9,18.9,88.0,6.3,4.1,5.4,109.13
175,22.1,28.0,15.0,59.0,6.3,2.4,5.4,133.64
176,22.8,29.0,18.4,61.0,6.6,1.9,5.4,131.15
177,22.6,29.5,16.2,42.0,6.9,1.9,3.5,134.21
178,18.9,25.0,17.7,97.0,4.0,4.3,5.4,134.21
179,20.3,22.0,18.6,90.0,4.0,3.9,5.4,175.89
180,21.8,26.5,17.9,70.0,6.3,3.7,7.6,143.95
181,22.0,28.9,16.7,57.0,6.3,2.8,5.4,146.94
182,21.8,29.4,15.6,67.0,6.9,3.5,5.4,119.26
183,22.6,29.0,17.7,63.0,5.8,1.3,3.5,96.33
184,20.6,30.5,14.7,62.0,6.0,2.2,3.5,147.35
185,21.8,29.0,14.8,46.0,5.8,1.5,3.5,118.6
186,21.5,30.4,14.9,42.0,6.0,3.0,5.4,109.82
188,21.0,27.6,14.6,61.0,6.0,2.2,3.5,104.76
189,21.6,27.7,17.0,59.0,6.8,2.0,3.5,105.95
190,22.3,29.0,16.1,48.0,6.9,2.8,3.5,105.76
191,20.9,29.0,16.0,66.0,5.5,2.2,3.5,139.3
192,20.9,27.8,16.0,62.0,6.3,3.0,5.4,124.97
193,21.0,28.5,15.0,58.0,6.8,3.0,5.4,136.18
194,21.2,28.0,16.9,66.0,5.5,2.2,3.5,110.61
195,20.7,28.3,17.2,61.0,6.3,2.2,3.5,110.61
196,20.7,27.2,15.5,61.0,6.3,3.3,5.4,110.61
197,20.4,28.2,15.8,64.0,6.3,2.8,7.6,103.49
198,21.7,27.6,15.3,64.0,6.3,3.5,5.4,117.11
199,21.7,28.9,18.5,68.0,6.3,5.2,11.1,101.9
200,22.6,30.3,16.7,52.0,6.3,3.1,5.4,115.15
201,21.9,29.2,18.3,75.0,4.0,3.7,7.6,108.39
202,22.1,26.0,19.7,79.0,6.3,3.5,5.4,84.71
203,23.9,31.7,18.2,54.0,6.9,2.8,7.6,80.39
204,23.1,32.0,16.0,46.0,6.9,3.3,3.5,81.73
205,23.5,31.5,16.4,40.0,7.7,3.1,3.5,82.83
206,22.7,31.7,16.7,50.0,6.9,3.1,5.4,94.46
207,23.9,30.9,16.1,36.0,6.9,3.1,5.4,102.99
208,23.8,32.2,16.6,37.0,6.3,3.0,7.6,92.4
209,23.4,32.0,15.8,35.0,6.9,3.1,5.4,102.36
210,22.1,29.6,15.8,54.0,6.9,4.3,5.4,72.32
211,22.6,28.8,17.4,61.0,6.3,3.5,5.4,70.51
212,23.1,29.0,17.3,45.0,6.9,3.9,5.4,78.82
213,23.7,31.2,16.8,42.0,6.9,1.5,5.4,107.97
214,24.6,31.8,17.7,38.0,6.3,1.9,3.5,117.85
215,25.9,33.4,19.3,41.0,6.3,2.4,5.4,125.03
216,26.7,35.5,19.0,31.0,5.5,1.9,3.5,86.26
217,25.8,34.9,20.0,41.0,6.9,3.3,5.4,90.68
218,24.3,33.3,19.1,36.0,6.9,4.3,9.4,85.35
219,24.2,32.5,16.9,29.0,6.9,3.3,7.6,95.07
220,24.4,32.0,15.7,33.0,6.9,3.9,5.4,83.99
221,25.8,32.0,18.2,43.0,6.9,3.0,5.4,91.47
222,26.2,33.1,21.5,60.0,6.9,3.0,5.4,81.42
223,25.6,33.8,21.1,62.0,6.9,0.4,3.5,86.62
224,26.7,32.5,21.2,54.0,6.9,2.8,5.4,95.11
225,26.6,34.3,22.2,57.0,6.9,3.3,3.5,59.01
