From Date,To Date,PM10,NO2,SO2,CO,Ozone
02-10-2019 00:00,03-10-2019 00:00,None,None,None,None,None
03-10-2019 00:00,04-10-2019 00:00,140.32,87.85,6.62,1.86,None
04-10-2019 00:00,05-10-2019 00:00,94.75,71.94,7.01,1.49,None
05-10-2019 00:00,06-10-2019 00:00,126.52,63.75,6.56,1.82,None
06-10-2019 00:00,07-10-2019 00:00,106.3,39.97,5.98,1.43,None
07-10-2019 00:00,08-10-2019 00:00,None,None,None,None,None
08-10-2019 00:00,09-10-2019 00:00,None,None,None,None,None
09-10-2019 00:00,10-10-2019 00:00,None,None,None,None,None
10-10-2019 00:00,11-10-2019 00:00,137.35,45.89,6.66,2.29,None
11-10-2019 00:00,12-10-2019 00:00,None,None,None,None,None
12-10-2019 00:00,13-10-2019 00:00,None,None,None,None,None
13-10-2019 00:00,14-10-2019 00:00,None,None,None,None,None
14-10-2019 00:00,15-10-2019 00:00,None,None,None,None,None
15-10-2019 00:00,16-10-2019 00:00,None,45.66,None,1.6,None
16-10-2019 00:00,17-10-2019 00:00,None,None,None,None,None
17-10-2019 00:00,18-10-2019 00:00,None,None,None,None,None
18-10-2019 00:00,19-10-2019 00:00,None,None,None,None,None
19-10-2019 00:00,20-10-2019 00:00,None,None,None,None,None
20-10-2019 00:00,21-10-2019 00:00,None,None,None,None,None
21-10-2019 00:00,22-10-2019 00:00,None,None,None,None,None
22-10-2019 00:00,23-10-2019 00:00,49.72,14.66,6.93,1.59,None
23-10-2019 00:00,24-10-2019 00:00,53.68,13.07,6.8,1.54,None
24-10-2019 00:00,25-10-2019 00:00,101.38,19.31,6.75,1.61,None
25-10-2019 00:00,26-10-2019 00:00,84.73,25.67,6.53,1.53,None
26-10-2019 00:00,27-10-2019 00:00,86.34,26.97,6.24,1.66,None
27-10-2019 00:00,28-10-2019 00:00,98.75,32.43,7.06,1.74,None
28-10-2019 00:00,29-10-2019 00:00,104.03,38.16,9.27,1.75,None
29-10-2019 00:00,30-10-2019 00:00,102.49,29.17,9.56,1.73,None
30-10-2019 00:00,31-10-2019 00:00,48.05,77.58,9.7,1.85,None
31-10-2019 00:00,01-11-2019 00:00,85.89,65.1,9.81,1.81,None
01-11-2019 00:00,02-11-2019 00:00,139.5,52.85,9.89,1.7,None
02-11-2019 00:00,03-11-2019 00:00,127.34,51,8.97,1.87,None
03-11-2019 00:00,04-11-2019 00:00,None,None,None,None,None
04-11-2019 00:00,05-11-2019 00:00,277.69,45.64,10.04,2.6,None
05-11-2019 00:00,06-11-2019 00:00,235.4,26.49,10.04,1.92,None
06-11-2019 00:00,07-11-2019 00:00,192,53.86,9.78,1.81,None
07-11-2019 00:00,08-11-2019 00:00,151.08,87.01,9.9,1.99,None
08-11-2019 00:00,09-11-2019 00:00,114.34,69.05,9.78,1.75,None
09-11-2019 00:00,10-11-2019 00:00,115.28,71.71,9.3,1.48,None
10-11-2019 00:00,11-11-2019 00:00,None,None,None,None,None
11-11-2019 00:00,12-11-2019 00:00,149.53,87.67,10.14,1.95,None
12-11-2019 00:00,13-11-2019 00:00,95.48,67.59,9.64,1.87,None
13-11-2019 00:00,14-11-2019 00:00,143.13,44.23,10.14,1.86,None
14-11-2019 00:00,15-11-2019 00:00,96.55,68.12,10.31,1.84,None
15-11-2019 00:00,16-11-2019 00:00,77.61,61.15,10.29,1.85,None
16-11-2019 00:00,17-11-2019 00:00,74.9,64.75,9.85,1.87,None
17-11-2019 00:00,18-11-2019 00:00,68.16,78.5,9.57,1.56,None
18-11-2019 00:00,19-11-2019 00:00,65.76,74.78,10.31,1.83,None
19-11-2019 00:00,20-11-2019 00:00,51.11,61.89,10.02,1.63,None
20-11-2019 00:00,21-11-2019 00:00,45.48,56.25,9.88,1.7,None
21-11-2019 00:00,22-11-2019 00:00,76.09,81.11,10.28,2.03,None
22-11-2019 00:00,23-11-2019 00:00,81.81,84.63,9.93,1.85,None
